,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M
1960-01-04,5.34,0.95,4.61,0,18.923674435291396,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.0456033615670302,1,59.91,59.91,59.91,59.91,17.67256637,3.39,0.73,1,0,0.0,33.9309362212363,0.030869716000000002,4.0,4.52
1960-01-05,5.34,0.95,4.61,0,19.074210987359198,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.05411165115469,0,60.39,60.39,60.39,60.39,17.81415929,3.39,0.73,0,0,0.0,34.201487374597804,0.030630924,4.0,4.55
1960-01-06,5.34,0.95,4.61,0,18.9910152248628,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.04970424509205,0,60.13,60.13,60.13,60.13,17.73746313,3.39,0.73,0,0,0.0,34.052934560323,0.030769971,4.0,4.68
1960-01-07,5.34,0.95,4.61,0,18.8509830757102,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.04215398698844,0,59.69,59.69,59.69,59.69,17.60766962,3.39,0.73,0,0,0.0,33.8024540399783,0.031003437000000002,4.0,4.63
1960-01-08,5.34,0.95,4.61,0,18.7899168356698,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.03896763969399,0,59.5,59.5,59.5,59.5,17.55162242,3.39,0.73,0,0,0.0,33.6935573363132,0.031109109,4.0,4.59
1960-01-11,5.34,0.95,4.61,0,18.5583376270964,221.2649314724,0.0,0.0137223422551012,0.0,0,1,1.0263516039812701,0,58.77,58.77,58.77,58.77,17.33628319,3.39,0.73,0,1,0.0,33.2788856037257,0.031502277,4.0,4.54
1960-01-12,5.34,0.95,4.61,0,18.443617062247103,221.2649314724,0.0,0.0130317344928463,0.0,0,1,1.0201955900850999,0,58.41,58.41,58.41,58.41,17.2300885,3.39,0.73,0,0,-0.00055248620980386,33.0737477975412,0.03170323,4.0,4.54
1960-01-13,5.34,0.95,4.61,0,18.3010019923772,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.01456276858252,0,58.08,58.08,58.08,58.08,17.13274336,3.39,0.73,0,0,0.00121940037608565,32.8185729270581,0.031890194,4.0,4.56
1960-01-14,5.34,0.95,4.61,0,18.400830177072102,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.02028365997273,0,58.4,58.4,58.4,58.4,17.22713864,3.39,0.73,0,0,0.000949080670176983,32.9981556668844,0.031722248,4.0,4.51
